src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,total_fwd_pkts,total_bwd_pkts,total_fwd_bytes,total_bwd_bytes,bytes_per_sec,packets_per_sec,packet_len_mean,packet_len_std,label
147.32.84.59,213.239.192.34,7525,50012,17,1313495484.049047,1277.4650399684906,1203,403,50526,16926,52.80144496295863,1.2571772610228245,42.0,0.0,0
147.32.84.59,188.40.100.105,7525,50012,17,1313495484.049051,1200.9437119960785,616,624,25872,26208,43.36589590317956,1.032521331028085,42.0,0.0,0
147.32.84.229,80.98.130.52,13363,51686,6,1313495484.049832,1276.7505769729614,55,57,2970,3078,4.737025468466331,0.0877226938604876,54.0,0.0,0
147.32.84.59,78.46.38.219,7525,55012,17,1313495484.049954,1190.0951609611511,1392,449,58464,18858,64.97127501766563,1.5469351194682297,42.0,0.0,0
147.32.84.59,213.239.199.195,7525,51012,17,1313495484.050042,1257.6211371421814,1296,594,54432,24948,63.11916813070042,1.502837336445248,42.0,0.0,0
147.32.84.59,46.4.100.40,7525,50012,17,1313495484.050374,1057.204551935196,1447,997,60774,41874,97.09379307164777,2.311756977896376,42.0,0.0,0
147.32.84.172,88.176.79.163,51145,49376,6,1313495484.050832,1277.168753862381,56740,32264,3063960,1742256,3763.18006956024,69.68851980667111,54.0,0.0,0
147.32.84.59,46.4.82.148,7525,51012,17,1313495484.051606,1268.169368982315,1608,888,67536,37296,82.66403728401511,1.9681913639051216,42.0,0.0,0
147.32.84.59,62.44.12.24,22975,40078,17,1313495484.051846,615.2294509410858,6200,5608,260400,235536,806.0992516554456,19.192839325129658,42.0,0.0,0
147.32.84.59,46.4.83.41,7525,54012,17,1313495484.051899,1240.905483007431,1369,647,57498,27174,68.23404454204749,1.6246201081439875,42.0,0.0,0
147.32.86.190,90.177.96.51,3306,10001,6,1313495484.052616,1270.111310005188,299,554,16146,29916,36.26611277070815,0.6715946809390397,54.0,0.0,0
147.32.84.59,88.198.60.195,7525,55012,17,1313495484.052892,1266.118667125702,1328,515,55776,21630,61.136449536538606,1.455629750869967,42.0,0.0,0
147.32.84.59,2.21.92.124,39232,80,6,1313495484.053062,211.56903910636905,7,6,378,324,3.3180658330969712,0.0614456635758698,54.0,0.0,0
147.32.84.229,78.80.181.135,13363,5854,17,1313495484.053567,1203.5134739875791,3,3,126,126,0.2093869370361538,0.0049854032627655,42.0,0.0,0
147.32.84.59,88.198.35.88,7525,52012,17,1313495484.055176,1259.1825199127195,1383,708,58086,29736,69.74525028038619,1.660601197152052,42.0,0.0,0
147.32.84.172,88.176.79.163,7387,49378,6,1313495484.056908,1277.262587070465,85666,48460,4625964,2616840,5670.567722970831,105.01051338834873,54.0,0.0,0
147.32.84.59,188.40.168.138,7525,50012,17,1313495484.057532,998.2157759666444,373,744,15666,31248,46.99785470187525,1.118996540520839,42.0,0.0,0
147.32.84.170,195.24.233.55,37533,80,6,1313495484.057991,0.1734480857849121,3,4,162,216,2179.3264439294344,40.35789710980434,54.0,0.0,0
147.32.84.59,195.113.232.83,46020,80,6,1313495484.058464,9.34019899368286,1634,8903,88236,480762,60919.25882787245,1128.1344227383786,54.0,0.0,0
147.32.84.59,46.4.25.21,7525,56012,17,1313495484.058667,1265.4580121040344,1377,791,57834,33222,71.95497529673406,1.7132136975412873,42.0,0.0,0
147.32.84.59,89.103.154.52,64055,19998,6,1313495484.058973,400.47077989578247,31,44,1674,2376,10.113097392658617,0.1872795813455299,54.0,0.0,0
147.32.84.172,88.176.79.163,22293,49380,6,1313495484.059257,1277.2834360599518,79877,46625,4313358,2517750,5348.153594688414,99.03988138311878,54.0,0.0,0
147.32.84.59,46.4.94.42,7525,56012,17,1313495484.059911,1277.456712961197,1338,663,56196,27846,65.78853056021539,1.5663935847670332,42.0,0.0,0
147.32.84.172,88.176.79.163,55198,49381,6,1313495484.059979,1277.220279932022,73680,42512,3978720,2295648,4912.518301333223,90.97256113580042,54.0,0.0,0
147.32.84.59,178.63.89.2,7525,50012,17,1313495484.059986,1200.403118848801,1423,586,59766,24612,70.29138684754452,1.6736044487510595,42.0,0.0,0
147.32.84.172,88.176.79.163,63514,49379,6,1313495484.060452,1277.1192309856417,80245,45231,4333230,2442474,5305.459220726571,98.24924482826984,54.0,0.0,0
147.32.84.172,88.176.79.163,49102,49382,6,1313495484.061559,1277.2392599582672,79841,44310,4311414,2392740,5248.941377059654,97.20261809369728,54.0,0.0,0
147.32.84.59,194.199.23.36,60458,19923,17,1313495484.062672,1277.4581801891327,63776,63471,2678592,2665782,4183.5999666218,99.60952301480476,42.0,0.0,0
147.32.84.172,88.176.79.163,41615,49377,6,1313495484.070101,1277.2209129333496,57145,33441,3085830,1805814,3829.91223402812,70.92430063015037,54.0,0.0,0
147.32.84.171,94.71.149.93,6881,4639,6,1313495484.072458,1273.0845890045166,17677,10962,954558,591948,1214.770812055218,22.495755778800334,54.0,0.0,0
147.32.80.9,147.32.84.59,53,59626,17,1313495484.072516,652.7491369247437,2,2,84,84,0.2573729944576992,0.006127928439469,42.0,0.0,0
